Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ00000BV7gP2AT,Atezolizumab,A-00622,,Atezolizumab,Roche,"Urothelial carcinoma, locally advanced or metastatic, 2nd line",Reviewing Consultation Feedback,Atezolizumab,/apptracker/s/application-public/a102P000008pufQ,Oncology Agents and Immunosuppressants
a0ROZ000009J4h32AC,Atezolizumab,A-03158,Tecentriq,Atezolizumab,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Non-small cell lung cancer, locally advanced or metastatic, high (>50%) PD-L1 expression, 1st line monotherapy",Decision,Atezolizumab (Tecentriq),/apptracker/s/application-public/a102P000009rmyy,Oncology Agents and Immunosuppressants
a0ROZ00000Cn1x32AB,Atezolizumab,A-04488,Tecentriq,Atezolizumab,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Non-Small Cell Lung Cancer (NSCLC), PD-L1 positive, Adjuvant treatment",Options Compared,Atezolizumab (Tecentriq),/apptracker/s/application-public/a102P00000BaPb0,Oncology Agents and Immunosuppressants
a0ROZ000007h5Mz2AI,Axitinib,A-01431,Inlyta,Axitinib,Pfizer,"Renal cell carcinoma, metastatic, clear cell, 2nd line",Decision,Axitinib (Inlyta),/apptracker/s/application-public/a102P000008pu4I,Oncology Agents and Immunosuppressants
a0R2P000000N6i8UAC,Azacitidine,A-00970,Vidaza,Azacitidine,Celgene,Myelodysplastic syndromes - Int-2 high risk,Decision,Azacitidine (Vidaza),/apptracker/s/application-public/a102P000008puX5,Oncology Agents and Immunosuppressants
a0ROZ00000BTW9V2AX,Belantamab mafodotin,A-05480,Blenrep®,Belantamab mafodotin,GLAXOSMITHKLINE NZ LIMITED,"Multiple myeloma, relapsed or refractory, 2nd line or later",Seeking Clinical Advice,Belantamab mafodotin (Blenrep®),/apptracker/s/application-public/a10OZ000005MlAH,Oncology Agents and Immunosuppressants
a0R2P000000TGQlUAO,Bendamustine,A-00301,RIBOMUSTIN [S.29],Bendamustine,Janssen,"Chronic lymphocytic leukemia, first-line, unable to tolerate FCR",Decision,Bendamustine (RIBOMUSTIN [S.29]),/apptracker/s/application-public/a102P000008puB9,Oncology Agents and Immunosuppressants
a0R2P000000WOWVUA4,Bendamustine,A-00434,Ribomustin,Bendamustine,Janssen,"Non-Hodgkin lymphoma, indolent, relapsed or refractory",Decision,Bendamustine (Ribomustin),/apptracker/s/application-public/a102P000008puZH,Oncology Agents and Immunosuppressants
a0R2P000000TGTpUAO,Bendamustine,A-00418,Ribomustin,Bendamustine,Janssen,"Non-Hodgkin lymphoma, indolent, first-line",Decision,Bendamustine (Ribomustin),/apptracker/s/application-public/a102P000008pucO,Oncology Agents and Immunosuppressants
a0ROZ00000AqQQd2AN,Benralizumab,A-00791,,Benralizumab,AstraZeneca,"Eosinophilic asthma, ACT and >300 cells/ul eosinophil count criteria (widening access)",Options Compared,Benralizumab,/apptracker/s/application-public/a102P00000BNz5p,Oncology Agents and Immunosuppressants
a0R2P000000WpwIUAS,Benralizumab,A-00791,,Benralizumab,AstraZeneca,Severe eosinophilic asthma - (eosinophilia 500 cells/ul),Decision,Benralizumab,/apptracker/s/application-public/a102P000008puEH,Oncology Agents and Immunosuppressants
a0R2P000000anIcUAI,Bevacizumab,A-00885,Avastin,Bevacizumab,Roche,Metastatic colorectal cancer - first and second-line treatment,Decision,Bevacizumab (Avastin),/apptracker/s/application-public/a102P000008ptpk,Oncology Agents and Immunosuppressants
a0ROZ00000Daa3t2AB,Bevacizumab,A-00422,,Bevacizumab,Consumer,"Glioblastoma multiforme, relapsed or recurrent",Options Compared,Bevacizumab,/apptracker/s/application-public/a102P000008ptvh,Oncology Agents and Immunosuppressants
a0ROZ00000AxLU52AN,Bevacizumab,A-00209,Avastin,Bevacizumab,Roche,Second-line treatment of high-risk advanced ovarian cancer,Seeking Clinical Advice,Bevacizumab (Avastin),/apptracker/s/application-public/a102P00000BTk6R,Oncology Agents and Immunosuppressants
a0ROZ000008xxlp2AA,Bevacizumab,A-00942,Avastin,Bevacizumab,Roche,"Metastatic colorectal cancer , neoadjuvant treatment for metastatic disease confined to the liver",Seeking Clinical Advice,Bevacizumab (Avastin),/apptracker/s/application-public/a102P000008ptpo,Oncology Agents and Immunosuppressants
a0ROZ0000078hbd2AA,Bevacizumab,A-00209,Avastin,Bevacizumab,Roche,"Ovarian cancer, advanced, 1st line",Decision,Bevacizumab (Avastin),/apptracker/s/application-public/a102P000008pufP,Oncology Agents and Immunosuppressants
a0ROZ000008LYrH2AW,Bevacizumab with lomustine,A-00591,,Bevacizumab with lomustine,Consumer,"High-grade glioma, relapsed or recurrent",Seeking Clinical Advice,Bevacizumab with lomustine,/apptracker/s/application-public/a102P000008puCg,Oncology Agents and Immunosuppressants
a0R2P000000LmlMUAS,Bicalutamide,A-00263,Bicalox,Bicalutamide,Douglas Pharmaceuticals Ltd,Advanced Prostate Cancer,Decision,Bicalutamide (Bicalox),/apptracker/s/application-public/a102P000008pukX,Oncology Agents and Immunosuppressants
a0ROZ000004CMlf2AG,Biosimilar Etanercept,A-00747,,Biosimilar Etanercept,Celltrion Healthcare New Zealand Limited,Multiple Indications,Decision,Biosimilar Etanercept,/apptracker/s/application-public/a102P000008pugG,Oncology Agents and Immunosuppressants
a0R2P000000LmkwUAC,Biosimilar Etanercept,A-00688,,Biosimilar Etanercept,Merck Sharp & Dohme,Multiple Indications,Options Compared,Biosimilar Etanercept,/apptracker/s/application-public/a102P000008pues,Oncology Agents and Immunosuppressants
a0R2P000000Lma6UAC,Bortezomib,A-01257,Velcade,Bortezomib,Janssen,Relapsed refractory multiple myeloma - second line,Decision,Bortezomib (Velcade),/apptracker/s/application-public/a102P000008puYJ,Oncology Agents and Immunosuppressants
a0ROZ0000006giv2AA,Bortezomib,A-01313,,Bortezomib,Janssen,Multiple myeloma - widened access,Decision,Bortezomib,/apptracker/s/application-public/a102P000008ptsA,Oncology Agents and Immunosuppressants
a0ROZ00000E5tlN2AR,Brentuximab vedotin,A-04512,ADCETRIS®,Brentuximab vedotin,TAKEDA NEW ZEALAND LIMITED,Previously untreated systemic anaplastic large-cell lymphoma (sALCL),Under Consultation,Brentuximab vedotin (ADCETRIS®),/apptracker/s/application-public/a10OZ0000000hzR,Oncology Agents and Immunosuppressants
a0ROZ00000BQEvR2AX,Bruton tyrosine kinase inhibitor (BTKi),A-00686,,Bruton tyrosine kinase inhibitor (BTKi),Janssen,"Chronic lymphocytic leukaemia (CLL), first-line, without TP53 mutation",Options Compared,Bruton tyrosine kinase inhibitor (BTKi),/apptracker/s/application-public/a10OZ000000LuNN,Oncology Agents and Immunosuppressants
a0ROZ00000B4IG92AN,Bruton tyrosine kinase inhibitor (BTKi),A-04642 A-00686 A-03526,,Bruton tyrosine kinase inhibitor (BTKi),"BeOne Medicines NZ Unlimited, Janssen, ASTRAZENECA LIMITED","Chronic lymphocytic leukaemia (CLL), first-line, with TP53 mutation",Options Compared,Bruton tyrosine kinase inhibitor (BTKi),/apptracker/s/application-public/a10OZ000000LuVR,Oncology Agents and Immunosuppressants
a0R2P000000LmWnUAK,Capecitabine,A-01201,Xeloda,Capecitabine,Roche,Locally advanced or metastatic breast cancer after failure of two prior chemotherapeutic regimes,Decision,Capecitabine (Xeloda),/apptracker/s/application-public/a102P000008ptwx,Oncology Agents and Immunosuppressants
a0ROZ000009TgUv2AK,Carfilzomib,A-00722,,Carfilzomib,Amgen,"Multiple myeloma, relapsed or refractory, 2nd line",Under Assessment,Carfilzomib,/apptracker/s/application-public/a102P00000BIsC8,Oncology Agents and Immunosuppressants
a0ROZ000009qeiX2AQ,Carfilzomib,A-00722,,Carfilzomib,Amgen,Relapsed or refractory multiple myeloma,Under Assessment,Carfilzomib,/apptracker/s/application-public/a102P000008pug4,Oncology Agents and Immunosuppressants
a0R2P000000aoyfUAA,Carfilzomib,A-00722,,Carfilzomib,Amgen,(once-weekly) for the third-line treatment of relapsed or refractory multiple myeloma,Under Assessment,Carfilzomib,/apptracker/s/application-public/a102P00000BIsCD,Oncology Agents and Immunosuppressants
a0ROZ000009J4kH2AS,Certolizumab pegol,A-01149,Cimzia,Certolizumab pegol,UCB Pharma,Rheumatoid athritis,Decision,Certolizumab pegol (Cimzia),/apptracker/s/application-public/a102P000008puDN,Oncology Agents and Immunosuppressants
a0R2P000000anQbUAI,Cetuximab,A-00308 A-00309,Erbitux,Cetuximab,"Merck Serono, Roche","Colorectal cancer, K-RAS wild-type metastatic, metastases limited to liver, with irinotecan",Decision,Cetuximab (Erbitux),/apptracker/s/application-public/a102P000008ptuD,Oncology Agents and Immunosuppressants
a0R2P000000TElmUAG,Cetuximab,A-01331,Erbitux,Cetuximab,Merck Serono,"Squamous cell carcinomas of the head and neck, locally advanced",Decision,Cetuximab (Erbitux),/apptracker/s/application-public/a102P000008pu0J,Oncology Agents and Immunosuppressants
a0ROZ000005fxnd2AA,Cetuximab,A-00693,Erbitux,Cetuximab,Merck Serono,"Colorectal cancer, metastatic, RAS wild-type, left-sided, 1st line",Decision,Cetuximab (Erbitux),/apptracker/s/application-public/a102P000008puV2,Oncology Agents and Immunosuppressants
a0R2P000000anSYUAY,Cetuximab,A-01330,,Cetuximab,Merck Serono,"Colorectal cancer, K-RAS wild-type metastatic, first-line neoadjuvant, metastases limited to liver",Decision,Cetuximab,/apptracker/s/application-public/a102P000008ptyE,Oncology Agents and Immunosuppressants
a0ROZ00000BGaUE2A1,Crisantaspase (Erwinia L-asparaginase),A-01412,,Crisantaspase (Erwinia L-asparaginase),Subcommittee recommendation,"Acute lymphoblastic leukemia, allergic to L-asparaginase",Options Compared,Crisantaspase (Erwinia L-asparaginase),/apptracker/s/application-public/a102P000008puKX,Oncology Agents and Immunosuppressants
a0R2P000000anQWUAY,Crizotinib,A-00406,Xalkori,Crizotinib,Pfizer,"Non-small cell lung cancer, advanced, anaplastic lymphoma kinase-positive",Decision,Crizotinib (Xalkori),/apptracker/s/application-public/a102P000008pttk,Oncology Agents and Immunosuppressants
a0ROZ000002BrKu2AK,"Daratumumab (in combination with bortezomib, cyclophosphamide and dexamethasone)",A-03768 A-04539 A-04540 A-04931,Darzalex® SC (AL-A),"Daratumumab (in combination with bortezomib, cyclophosphamide and dexamethasone)","JANSSEN NZ LIMITED, JANSSEN NZ LIMITED, Consumer","AL amyloidosis, 1L",Options Compared,"Daratumumab (in combination with bortezomib, cyclophosphamide and dexamethasone) (Darzalex® SC (AL-A))",/apptracker/s/application-public/a102P00000BD1Sr,Oncology Agents and Immunosuppressants
a0R2P000000hE9TUAU,Daratumumab IV (with bortezomib and dexamethasone),A-00628,,Daratumumab IV (with bortezomib and dexamethasone),Janssen,"Multiple myeloma, relapsed or refractory, 2nd line",Options Compared,Daratumumab IV (with bortezomib and dexamethasone),/apptracker/s/application-public/a102P000008ptxu,Oncology Agents and Immunosuppressants
a0ROZ00000AQknw2AD,Daratumumab subcutaneous,A-03764,Darzalex® SC,Daratumumab subcutaneous,JANSSEN NZ LIMITED,"Multiple myeloma, received one prior line of myeloma therapy (1PL).",Options Compared,Daratumumab subcutaneous (Darzalex® SC),/apptracker/s/application-public/a102P00000BD0yw,Oncology Agents and Immunosuppressants
a0R2P000000LmiCUAS,Dasatinib,A-00225,Sprycel,Dasatinib,Bristol-Myers Squibb,CML - resistant or intolerant to Imatinib,Decision,Dasatinib (Sprycel),/apptracker/s/application-public/a102P000008pucL,Oncology Agents and Immunosuppressants
a0R2P000000Lmo3UAC,Dasatinib,A-00807,Spyracel,Dasatinib,Bristol-Myers Squibb,Bridge to allogeneic transplant - patients with a defined donor,Decision,Dasatinib (Spyracel),/apptracker/s/application-public/a102P000008ptrb,Oncology Agents and Immunosuppressants
a0R2P000000Lmm1UAC,Docetaxel,A-01106,Taxotere,Docetaxel,Aventis,Adjuvant treatment in breast cancer,Decision,Docetaxel (Taxotere),/apptracker/s/application-public/a102P000008pujg,Oncology Agents and Immunosuppressants
a0ROZ00000Cn1x82AB,Dostarlimab,A-04910,Jemperli,Dostarlimab,GLAXOSMITHKLINE NZ LIMITED,"Endometrial cancer, advanced or recurrent, with deficient mismatch repair (dMMR) status, first line",Options Compared,Dostarlimab (Jemperli),/apptracker/s/application-public/a10OZ000000e2xZ,Oncology Agents and Immunosuppressants
a0ROZ00000DaZe52AF,Dostarlimab,A-04910,Jemperli,Dostarlimab,GLAXOSMITHKLINE NZ LIMITED,"Endometrial cancer, treatment of advanced or recurrent, irrespective of dMMR status, first line",Options Compared,Dostarlimab (Jemperli),/apptracker/s/application-public/a10OZ000002WKNR,Oncology Agents and Immunosuppressants
a0ROZ000006GRdV2AW,Durvalumab,A-05156,IMFINZI®,Durvalumab,ASTRAZENECA LIMITED,"small cell lung cancer, limited-stage, not progressed following platinum-based chemoradiation therapy (CRT).",Seeking Clinical Advice,Durvalumab (IMFINZI®),/apptracker/s/application-public/a10OZ0000035Q3N,Oncology Agents and Immunosuppressants
a0R2P000000WvRaUAK,Durvalumab,A-03155,Imfinzi,Durvalumab,ASTRAZENECA LIMITED,"Adult patients with locally advanced, unresectable NSCLC whose disease has not progressed following platinum-based chemoradiation therapy.",Decision,Durvalumab (Imfinzi),/apptracker/s/application-public/a102P000009kZDh,Oncology Agents and Immunosuppressants
a0ROZ00000AiRRn2AN,Durvalumab,A-05218,IMFINZI®,Durvalumab,ASTRAZENECA LIMITED,combination with etoposide and either carboplatin or cisplatin for the first-line treatment of patients with extensive-stage small cell lung cancer (ES-SCLC).,Seeking Clinical Advice,Durvalumab (IMFINZI®),/apptracker/s/application-public/a10OZ0000038EnF,Oncology Agents and Immunosuppressants
a0ROZ00000CHhkn2AD,Entrectinib,A-03476,Rozlytrek,Entrectinib,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Non-small cell lung cancer (NSCLC) - adult patients with ROS1-positive, locally advanced or metastatic",Decision,Entrectinib (Rozlytrek),/apptracker/s/application-public/a102P00000ASxy1,Oncology Agents and Immunosuppressants
a0ROZ000004CTjv2AG,Enzalutamide,A-00506,Xtandi,Enzalutamide,Seqirus,"Prostate cancer, metastatic, castration resistant",Decision,Enzalutamide (Xtandi),/apptracker/s/application-public/a102P000008ptvd,Oncology Agents and Immunosuppressants
a0ROZ000000PXiW2AW,Enzalutamide,A-00506,Xtandi,Enzalutamide,Seqirus,"Prostate cancer, metastatic, castration resistant, contraindicated to abiraterone",Options Compared,Enzalutamide (Xtandi),/apptracker/s/application-public/a102P00000BKbSL,Oncology Agents and Immunosuppressants
a0R2P000000LmjaUAC,Erlotinib,A-01208,Tarceva,Erlotinib,Roche,Non-small cell lung cancer (NSCLC) with EGFR-activating mutation - 1st line,Decision,Erlotinib (Tarceva),/apptracker/s/application-public/a102P000008puho,Oncology Agents and Immunosuppressants
a0ROZ00000096Cf2AI,Erlotinib,A-00880,Tarceva,Erlotinib,Roche,Platinum refractory  NSCLC - second line,Decision,Erlotinib (Tarceva),/apptracker/s/application-public/a102P000008puFE,Oncology Agents and Immunosuppressants
a0ROZ0000006KyX2AU,Etanercept,A-00989,Enbrel,Etanercept,Wyeth,Juvenile idiopathic arthritis (JIA),Decision,Etanercept (Enbrel),/apptracker/s/application-public/a102P000008pu4F,Oncology Agents and Immunosuppressants
a0R2P000000LmahUAC,Etanercept,A-00381,Enbrel,Etanercept,Wyeth,Psoriatic arthritis,Decision,Etanercept (Enbrel),/apptracker/s/application-public/a102P000008puZA,Oncology Agents and Immunosuppressants
a0R2P000000LmWCUA0,Etanercept,A-01115,Enbrel,Etanercept,Wyeth,Adult rheumatoid arthritis,Decision,Etanercept (Enbrel),/apptracker/s/application-public/a102P000008ptxh,Oncology Agents and Immunosuppressants
a0ROZ000004DLM62AO,Everolimus,A-00707,,Everolimus,Consumer,"Breast cancer, advanced, hormone receptor positive, HER-2 negative",Seeking Clinical Advice,Everolimus,/apptracker/s/application-public/a102P000008pu1O,Oncology Agents and Immunosuppressants
a0ROZ00000095zl2AA,Exemestane,A-00333,Aromastin,Exemestane,Pfizer,Widening of access for breast cancer,Decision,Exemestane (Aromastin),/apptracker/s/application-public/a102P000008puhq,Oncology Agents and Immunosuppressants
a0ROZ00000BGaUF2A1,Fixed duration venetoclax with obinutuzumab,A-03216,,Fixed duration venetoclax with obinutuzumab,ABBVIE LIMITED,"Chronic lymphocytic leukaemia (CLL),  previously untreated",Options Compared,Fixed duration venetoclax with obinutuzumab,/apptracker/s/application-public/a102P000009sDbV,Oncology Agents and Immunosuppressants
a0ROZ00000AqQQg2AN,Fixed-duration ibrutinib plus venetoclax,A-04574,IMBRUVICA,Fixed-duration ibrutinib plus venetoclax,JANSSEN NZ LIMITED,"Chronic Lymphocytic Leukaemia (CLL) or Small Lymphocytic Leukaemia (SLL), previously untreated, without TP53 mutation",Options Compared,Fixed-duration ibrutinib plus venetoclax (IMBRUVICA),/apptracker/s/application-public/a102P00000BYfHQ,Oncology Agents and Immunosuppressants
a0ROZ00000BQWSY2A5,Fulvestrant,A-00779,Faslodex,Fulvestrant,AstraZeneca,Breast cancer - locally advanced or metastatic breast cancer (1st line treatment),Decision,Fulvestrant (Faslodex),/apptracker/s/application-public/a102P000008puWJ,Oncology Agents and Immunosuppressants
a0ROZ00000BQWHF2A5,Fulvestrant,A-01279,Faslodex,Fulvestrant,AstraZeneca,"Breast cancer, locally advanced or metastatic, second-line or later treatment",Decision,Fulvestrant (Faslodex),/apptracker/s/application-public/a102P000008puMf,Oncology Agents and Immunosuppressants
a0R2P000000anX8UAI,Gefitinib,A-00919,Iressa,Gefitinib,AstraZeneca,"Non-Small Cell Lung Cancer (NSCLC). second-line, locally advanced or metastatic",Decision,Gefitinib (Iressa),/apptracker/s/application-public/a102P000008pu4Y,Oncology Agents and Immunosuppressants
a0ROZ00000081lJ2AQ,Gemcitabine,A-01119,Gemzar,Gemcitabine,Eli Lilly,Advanced bladder cancer,Decision,Gemcitabine (Gemzar),/apptracker/s/application-public/a102P000008pttr,Oncology Agents and Immunosuppressants
a0ROZ0000002drh2AA,"Gemcitabine Hydrochloride, Oxaliplatin",A-01297,,"Gemcitabine Hydrochloride, Oxaliplatin",NPPA,Germ cell cancer of the testis,Decision,"Gemcitabine Hydrochloride, Oxaliplatin",/apptracker/s/application-public/a102P000008ptzV,Oncology Agents and Immunosuppressants
a0R2P000000dM4sUAE,Hexylaminolevulinate hydrochloride,A-00522,,Hexylaminolevulinate hydrochloride,Juno Pharmaceuticals,Diagnostic detection of bladder cancer under blue flourescent light,Seeking Clinical Advice,Hexylaminolevulinate hydrochloride,/apptracker/s/application-public/a102P000008pu6O,Oncology Agents and Immunosuppressants
a0R2P000000euDXUAY,Ibrutinib,A-00686,Imbruvica,Ibrutinib,Janssen,"Waldenström macroglobulinemia, relapsed/refractory",Under Assessment,Ibrutinib (Imbruvica),/apptracker/s/application-public/a102P00000BQ7KI,Oncology Agents and Immunosuppressants
a0ROZ000003Nn6L2AS,Ibrutinib,A-00430 A-04914,Imbruvica,Ibrutinib,"Janssen, JANSSEN NZ LIMITED",Relapsed or refractory mantle cell lymphoma (R/R MCL),Options Compared,Ibrutinib (Imbruvica),/apptracker/s/application-public/a102P000008puXu,Oncology Agents and Immunosuppressants
a0ROZ000009J4sL2AS,Ibrutinib,A-00407,Imbruvica,Ibrutinib,Janssen,"Chronic lymphocytic leukaemia (CLL),  previously untreated patients (17p deletion) and relapsed/refractory patients for whom ibrutinib is a more appropriate option (alternate)",Decision,Ibrutinib (Imbruvica),/apptracker/s/application-public/a102P000008pu4v,Oncology Agents and Immunosuppressants
a0ROZ00000BQHN32AP,Ibrutinib,A-00686,Imbruvica,Ibrutinib,Janssen,"Chronic lymphocytic leukemia (CLL), previously untreated, chemoimmunotherapy is inappropriate (BTKi class recommendation received)",Options Compared,Ibrutinib (Imbruvica),/apptracker/s/application-public/a102P000008pu1K,Oncology Agents and Immunosuppressants
a0R2P000000bPw4UAE,Ibrutinib,A-00407,Imbruvica,Ibrutinib,Janssen,"Chronic lymphocytic leukaemia, who progress during or relapse after venetoclax treatment or are intolerant of venetoclax (subsequent line)",Decision,Ibrutinib (Imbruvica),/apptracker/s/application-public/a102P00000AaVRQ,Oncology Agents and Immunosuppressants
a0ROZ00000AELQD2A5,Inavolisib,A-05426,ITOVEBI®,Inavolisib,ROCHE PRODUCTS (NEW ZEALAND) LIMITED,"Breast cancer, locally advanced or metastatic, PIK3CA-mutated, HR-positive, HER2-negative, following recurrence on/after adjuvant therapy",Seeking Clinical Advice,Inavolisib (ITOVEBI®),/apptracker/s/application-public/a10OZ0000054jRu,Oncology Agents and Immunosuppressants
a0R2P000000LmclUAC,Infliximab,A-00339,Remicade,Infliximab,Subcommittee recommendation,"Ulcerative colitis in children, defined with PUCAI scores",Decision,Infliximab (Remicade),/apptracker/s/application-public/a102P000008puaA,Oncology Agents and Immunosuppressants
a0R2P000000LmkEUAS,Infliximab,A-01187,Remicade,Infliximab,Schering-Plough,Rheumatoid arthritis - last-line treatment,Decision,Infliximab (Remicade),/apptracker/s/application-public/a102P000008pueF,Oncology Agents and Immunosuppressants
a0ROZ000004CVnL2AW,Ipilimumab,A-01255,Yervoy,Ipilimumab,Bristol-Myers Squibb,Melanoma - previously treated unresectable stage IIIC or IV,Decision,Ipilimumab (Yervoy),/apptracker/s/application-public/a102P000008pu2m,Oncology Agents and Immunosuppressants
a0ROZ0000002dy92AA,Irinotecan,A-01299,,Irinotecan,NPPA,Adenocarcinoma,Decision,Irinotecan,/apptracker/s/application-public/a102P000008pu1Z,Oncology Agents and Immunosuppressants
a0ROZ00000BQWnV2AX,Lanreotide acetate,A-00627,somatuline autogel,Lanreotide acetate,Ipsen,"Gastroenteropancreatic neuroendocrine tumours, non-functional",Options Compared,Lanreotide acetate (somatuline autogel),/apptracker/s/application-public/a102P000008puZP,Oncology Agents and Immunosuppressants
a0R2P000000LmWaUAK,Lapatinib,A-01032,tykerb,Lapatinib,GlaxoSmithKline,Breast cancer - first line metastatic HER2 positive breast cancer,Decision,Lapatinib (tykerb),/apptracker/s/application-public/a102P000008ptzW,Oncology Agents and Immunosuppressants
a0R2P000000THoyUAG,Lenalidomide,A-00904,Revlimid,Lenalidomide,Celgene,"Multiple myeloma - relapsed or refractory, 2nd line",Decision,Lenalidomide (Revlimid),/apptracker/s/application-public/a102P000008ptpU,Oncology Agents and Immunosuppressants
a0R2P000000TEraUAG,Lenalidomide,A-00230,Revlimid,Lenalidomide,Celgene,"Multiple myeloma - relapsed/refractory, 3rd line",Decision,Lenalidomide (Revlimid),/apptracker/s/application-public/a102P000008puSU,Oncology Agents and Immunosuppressants
a0ROZ000003yfcr2AA,Lenalidomide (with dexamethasone +/- bortezomib),A-00499,Revlimid,Lenalidomide (with dexamethasone +/- bortezomib),Celgene,"Multiple myeloma, transplant ineligible, 1st line",Decision,Lenalidomide (with dexamethasone +/- bortezomib) (Revlimid),/apptracker/s/application-public/a102P000008pua9,Oncology Agents and Immunosuppressants
a0ROZ000005gXhR2AU,Lenvatinib and everolimus,A-03359,LENVIMA®,Lenvatinib and everolimus,EISAI NEW ZEALAND LIMITED,"Renal cell carcinoma, metastatic, clear cell, 2nd line",Decision,Lenvatinib and everolimus (LENVIMA®),/apptracker/s/application-public/a102P00000ANEVb,Oncology Agents and Immunosuppressants
a0ROZ000005ga2b2AA,Lenvatinib mesilate,A-03353,LENVIMA®,Lenvatinib mesilate,EISAI NEW ZEALAND LIMITED,"Unresectable hepatocellular carcinoma, 1st line",Decision,Lenvatinib mesilate (LENVIMA®),/apptracker/s/application-public/a102P00000ANEX8,Oncology Agents and Immunosuppressants
a0ROZ000005gZhe2AE,Lenvatinib mesilate,A-03348,LENVIMA®,Lenvatinib mesilate,EISAI NEW ZEALAND LIMITED,"Thyroid cancer, locally advanced or metastatic, differentiated, refractory to radioactive iodine",Decision,Lenvatinib mesilate (LENVIMA®),/apptracker/s/application-public/a102P00000ANEXc,Oncology Agents and Immunosuppressants
a0ROZ00000AqQQc2AN,Mepolizumab,A-03546,Nucala,Mepolizumab,GLAXOSMITHKLINE NZ LIMITED,"Eosinophilic asthma, remove requirement for Asthma Control Test (ACT)",Options Compared,Mepolizumab (Nucala),/apptracker/s/application-public/a102P00000AnQL4,Oncology Agents and Immunosuppressants
a0ROZ000009SCAl2AO,Mepolizumab,A-03546,Nucala,Mepolizumab,GLAXOSMITHKLINE NZ LIMITED,"Eosinophilic asthma, lowering minimum blood eosinophil count to 300 cells per microlitre",Options Compared,Mepolizumab (Nucala),/apptracker/s/application-public/a102P00000AYn1O,Oncology Agents and Immunosuppressants
a0ROZ0000007jA52AI,Mercaptopurine oral solution,A-00608,,Mercaptopurine oral solution,Link Pharmaceuticals,acute lymphoblastic leukaemia,Decision,Mercaptopurine oral solution,/apptracker/s/application-public/a102P000008puC7,Oncology Agents and Immunosuppressants
a0ROZ000004CXif2AG,Methyl 5-Aminolevulinate Hydrochloride,A-01105,Metvix,Methyl 5-Aminolevulinate Hydrochloride,Galderma,Actinic keratoses and basal cell carcinoma,Decision,Methyl 5-Aminolevulinate Hydrochloride (Metvix),/apptracker/s/application-public/a102P000008puFM,Oncology Agents and Immunosuppressants
a0ROZ00000C4WGv2AN,Mirvetuximab Soravtansine-gynx,A-05443,ELAHERE®,Mirvetuximab Soravtansine-gynx,ABBVIE LIMITED,"epithelial ovarian, fallopian tube, or primary peritoneal cancer, FRα high, platinum-resistant, 2nd Line",Seeking Clinical Advice,Mirvetuximab Soravtansine-gynx (ELAHERE®),/apptracker/s/application-public/a10OZ000005GcG9,Oncology Agents and Immunosuppressants
a0ROZ000000W68k2AC,Mitotane,A-01235,,Mitotane,NPPA,Adrenocortical carcinoma,Decision,Mitotane,/apptracker/s/application-public/a102P000008ptsc,Oncology Agents and Immunosuppressants
a0R2P000000LmgQUAS,Mycophenolate mofetil,A-01195,Cellcept,Mycophenolate mofetil,Roche,Prophylaxis of kidney allograft rejection,Decision,Mycophenolate mofetil (Cellcept),/apptracker/s/application-public/a102P000008ptoy,Oncology Agents and Immunosuppressants
a0ROZ000003dpYn2AI,Mycophenolate mofetil,A-01110,Cellcept,Mycophenolate mofetil,Roche,removal of 12 month restriction on Special Authority approvals for renal transplant recpients,Decision,Mycophenolate mofetil (Cellcept),/apptracker/s/application-public/a102P000008puO0,Oncology Agents and Immunosuppressants
a0R2P000000LmchUAC,Mycophenolate mofetil,A-01111,Cellcept,Mycophenolate mofetil,Roche,widening of access to include heart transplant recipients,Decision,Mycophenolate mofetil (Cellcept),/apptracker/s/application-public/a102P000008pu7G,Oncology Agents and Immunosuppressants
a0R2P000000TFVYUA4,Nab-paclitaxel,A-00338,Abraxane,Nab-paclitaxel,Specialised Therapeutics Ltd,"Pancreatic cancer, metastatic, first-line",Options Compared,Nab-paclitaxel (Abraxane),/apptracker/s/application-public/a102P000008pu1I,Oncology Agents and Immunosuppressants
a0ROZ000001SS8r2AG,Nab-paclitaxel,A-01009,Abraxane,Nab-paclitaxel,Specialised Therapeutics Ltd,"Metastatic breast cancer , following grade 3+ hypersensitivity reaction on paclitaxel",Options Compared,Nab-paclitaxel (Abraxane),/apptracker/s/application-public/a102P00000BX13e,Oncology Agents and Immunosuppressants
a0ROZ000009J4vZ2AS,Nivolumab,A-00455,,Nivolumab,Bristol-Myers Squibb,"Non-small cell lung cancer, locally advanced or metastatic, 2nd line",Decision,Nivolumab,/apptracker/s/application-public/a102P000008puDw,Oncology Agents and Immunosuppressants
a0R2P000000XgKYUA0,Nivolumab,A-00456,,Nivolumab,Bristol-Myers Squibb,"Melanoma, unresectable or metastatic",Decision,Nivolumab,/apptracker/s/application-public/a102P000008puFZ,Oncology Agents and Immunosuppressants
